Date,Channel,Campaign,Region,Audience,Budget,Impressions,Clicks,Conversions,Revenue,CTR,CVR,CPC,ROAS,ROI,Month,Month_Num,Quarter
2024-01-13,Email,Summer Sale,Central,25-34,1828,533678,78431,6332,1180356.4,14.7,8.07,0.02,645.71,64470.9,Jan,1,Q1
2024-01-13,Google Ads,Black Friday,East,35-44,9405,1052103,17488,1029,213468.15,1.66,5.88,0.54,22.7,2169.7,Jan,1,Q1
2024-01-13,Social Media,New Year,West,25-34,5983,1508751,76872,3188,187945.51,5.1,4.15,0.08,31.41,3041.3,Jan,1,Q1
2024-01-14,Google Ads,Summer Sale,South,18-24,2641,787404,40574,2488,313479.32,5.15,6.13,0.07,118.7,11769.7,Jan,1,Q1
2024-01-14,Influencer,New Year,West,25-34,19191,4603853,362031,14836,3300550.16,7.86,4.1,0.05,171.98,17098.4,Jan,1,Q1
2024-01-14,SEO,Summer Sale,East,25-34,2052,218464,9783,675,69958.04,4.48,6.9,0.21,34.09,3309.3,Jan,1,Q1
2024-01-14,Google Ads,Summer Sale,West,18-24,10847,2585086,86821,5849,1253527.56,3.36,6.74,0.12,115.56,11456.4,Jan,1,Q1
2024-01-15,Email,Brand Awareness,North,55+,1938,143564,21672,1930,323887.98,15.1,8.91,0.09,167.12,16612.5,Jan,1,Q1
2024-01-15,Google Ads,Brand Awareness,Central,18-24,4538,1152056,46684,3030,444004.44,4.05,6.49,0.1,97.84,9684.1,Jan,1,Q1
2024-01-15,Email,Summer Sale,North,18-24,906,270469,41682,3554,720100.69,15.41,8.53,0.02,794.81,79381.3,Jan,1,Q1
2024-01-16,Social Media,Brand Awareness,West,35-44,1739,396801,24431,1071,104460.28,6.16,4.38,0.07,60.07,5906.9,Jan,1,Q1
2024-01-16,Email,Black Friday,North,25-34,2419,146292,22842,1899,404009.01,15.61,8.31,0.11,167.01,16601.5,Jan,1,Q1
2024-01-17,Social Media,Spring Launch,West,45-54,6161,1610364,90504,3761,248563.77,5.62,4.16,0.07,40.34,3934.5,Jan,1,Q1
2024-01-17,Social Media,Black Friday,Central,35-44,6585,931674,57124,2762,521076.51,6.13,4.84,0.12,79.13,7813.1,Jan,1,Q1
2024-01-17,Email,Black Friday,East,25-34,1009,100766,13818,1153,134948.24,13.71,8.34,0.07,133.74,13274.5,Jan,1,Q1
2024-01-17,Email,Summer Sale,East,55+,2084,177294,26674,2192,133624.04,15.05,8.22,0.08,64.12,6311.9,Jan,1,Q1
2024-01-19,Email,Spring Launch,West,45-54,1214,64170,9370,790,91176.7,14.6,8.43,0.13,75.1,7410.4,Jan,1,Q1
2024-01-20,SEO,Summer Sale,North,18-24,4292,829108,50661,3276,782922.51,6.11,6.47,0.08,182.41,18141.4,Jan,1,Q1
2024-01-20,Influencer,Summer Sale,North,25-34,16559,4011302,278085,14651,1803172.82,6.93,5.27,0.06,108.89,10789.4,Jan,1,Q1
2024-01-21,SEO,Spring Launch,North,18-24,929,118674,6115,437,88926.46,5.15,7.15,0.15,95.72,9472.3,Jan,1,Q1
2024-01-21,Social Media,Brand Awareness,South,25-34,6281,1495277,85389,3337,627266.33,5.71,3.91,0.07,99.87,9886.7,Jan,1,Q1
2024-01-21,Email,Spring Launch,East,18-24,2697,795723,130439,10673,2588051.35,16.39,8.18,0.02,959.6,95860.4,Jan,1,Q1
2024-01-22,Email,Black Friday,Central,45-54,1850,235073,34712,3000,546633.58,14.77,8.64,0.05,295.48,29447.8,Jan,1,Q1
2024-01-22,Social Media,Black Friday,South,25-34,7471,1312132,83482,3497,374054.12,6.36,4.19,0.09,50.07,4906.7,Jan,1,Q1
2024-01-23,Google Ads,New Year,South,45-54,11250,2692357,95388,5215,1176081.57,3.54,5.47,0.12,104.54,10354.1,Jan,1,Q1
2024-01-23,Google Ads,Summer Sale,South,35-44,12400,1940959,43644,2599,572257.01,2.25,5.95,0.28,46.15,4515.0,Jan,1,Q1
2024-01-23,Influencer,New Year,South,35-44,5989,820148,80726,3282,285139.55,9.84,4.07,0.07,47.61,4661.1,Jan,1,Q1
2024-01-24,Social Media,Brand Awareness,South,55+,6427,1852244,152254,5824,1060021.91,8.22,3.83,0.04,164.93,16393.3,Jan,1,Q1
2024-01-24,Social Media,Black Friday,Central,55+,2931,835830,61669,2516,279138.58,7.38,4.08,0.05,95.24,9423.7,Jan,1,Q1
2024-01-24,Email,Brand Awareness,East,55+,2824,534644,82512,7396,1417280.7,15.43,8.96,0.03,501.87,50087.0,Jan,1,Q1
2024-01-25,Social Media,Summer Sale,Central,18-24,2561,539307,25496,895,221523.72,4.73,3.51,0.1,86.5,8549.9,Jan,1,Q1
2024-01-26,Social Media,New Year,Central,35-44,5967,1466247,57759,2128,488179.4,3.94,3.68,0.1,81.81,8081.3,Jan,1,Q1
2024-01-26,SEO,Black Friday,North,35-44,3389,592955,22570,1546,271425.83,3.81,6.85,0.15,80.09,7909.0,Jan,1,Q1
2024-01-26,Google Ads,Summer Sale,East,55+,4695,1080935,33000,2000,123658.59,3.05,6.06,0.14,26.34,2533.8,Jan,1,Q1
2024-01-26,Email,Spring Launch,West,35-44,2929,878386,129797,11173,880712.35,14.78,8.61,0.02,300.69,29968.7,Jan,1,Q1
2024-01-27,Google Ads,Brand Awareness,South,18-24,9404,1795011,62571,4577,368358.44,3.49,7.31,0.15,39.17,3817.0,Jan,1,Q1
2024-01-27,Social Media,Spring Launch,East,45-54,4674,1383387,76016,2982,526661.4,5.49,3.92,0.06,112.68,11167.9,Jan,1,Q1
2024-01-27,Google Ads,Black Friday,Central,35-44,14890,1702168,96041,5366,984525.31,5.64,5.59,0.16,66.12,6512.0,Jan,1,Q1
2024-01-28,Google Ads,Brand Awareness,East,18-24,8326,711196,25867,1641,371644.74,3.64,6.34,0.32,44.64,4363.7,Jan,1,Q1
2024-01-28,SEO,Spring Launch,East,45-54,4267,244490,16280,1085,138362.31,6.66,6.66,0.26,32.43,3142.6,Jan,1,Q1
2024-01-28,Email,Black Friday,East,18-24,2237,450901,61167,5304,326779.61,13.57,8.67,0.04,146.08,14507.9,Jan,1,Q1
2024-01-29,Email,Black Friday,South,35-44,997,71731,10898,924,189065.97,15.19,8.48,0.09,189.63,18863.5,Jan,1,Q1
2024-01-30,Google Ads,Spring Launch,North,55+,14886,1911930,84952,5409,1212761.13,4.44,6.37,0.18,81.47,8047.0,Jan,1,Q1
2024-01-30,Google Ads,New Year,West,25-34,9486,1516824,62118,3893,955016.59,4.1,6.27,0.15,100.68,9967.6,Jan,1,Q1
2024-01-30,Google Ads,Summer Sale,North,25-34,7549,1430699,63105,3503,663632.91,4.41,5.55,0.12,87.91,8691.0,Jan,1,Q1
2024-01-30,Google Ads,Spring Launch,South,45-54,6465,1570978,60569,4139,797648.04,3.86,6.83,0.11,123.38,12237.9,Jan,1,Q1
2024-01-31,Google Ads,New Year,East,35-44,2025,413789,14158,735,137975.46,3.42,5.19,0.14,68.14,6713.6,Jan,1,Q1
2024-01-31,Google Ads,New Year,Central,25-34,12293,3528721,124261,7705,632895.96,3.52,6.2,0.1,51.48,5048.4,Jan,1,Q1
2024-01-31,Social Media,Spring Launch,East,45-54,5351,1448055,113709,4792,938061.01,7.85,4.21,0.05,175.31,17430.6,Jan,1,Q1
2024-02-01,Email,Black Friday,South,55+,2674,362545,50599,3938,701097.14,13.96,7.78,0.05,262.19,26119.0,Feb,2,Q1
2024-02-01,Google Ads,Summer Sale,Central,25-34,5263,1566552,55321,3248,159957.38,3.53,5.87,0.1,30.39,2939.3,Feb,2,Q1
2024-02-01,Email,Spring Launch,West,25-34,2288,350288,48840,4129,562423.51,13.94,8.45,0.05,245.81,24481.4,Feb,2,Q1
2024-02-02,Google Ads,Black Friday,East,35-44,4725,833306,25599,1460,314265.82,3.07,5.7,0.18,66.51,6551.1,Feb,2,Q1
2024-02-02,Social Media,Brand Awareness,North,45-54,7452,2172750,154057,6032,1357246.38,7.09,3.92,0.05,182.13,18113.2,Feb,2,Q1
2024-02-02,Social Media,Black Friday,Central,25-34,4318,908733,36789,1552,358929.4,4.05,4.22,0.12,83.12,8212.4,Feb,2,Q1
2024-02-03,Email,Spring Launch,Central,55+,577,109608,15686,1262,192195.05,14.31,8.05,0.04,333.09,33209.4,Feb,2,Q1
2024-02-03,Social Media,Brand Awareness,Central,25-34,2297,426191,19655,732,176548.64,4.61,3.72,0.12,76.86,7586.1,Feb,2,Q1
2024-02-04,Google Ads,Spring Launch,Central,18-24,11272,2716148,129024,7628,496453.36,4.75,5.91,0.09,44.04,4304.3,Feb,2,Q1
2024-02-04,Email,Brand Awareness,South,35-44,1424,322175,46251,3825,452204.18,14.36,8.27,0.03,317.56,31655.9,Feb,2,Q1
2024-02-05,Influencer,Black Friday,South,55+,5467,668346,54331,2473,368846.55,8.13,4.55,0.1,67.47,6646.8,Feb,2,Q1
2024-02-05,Email,New Year,West,55+,2091,608436,97596,6521,617115.01,16.04,6.68,0.02,295.13,29412.9,Feb,2,Q1
2024-02-05,Influencer,Black Friday,North,25-34,12406,3602296,349190,17046,2315771.04,9.69,4.88,0.04,186.67,18566.5,Feb,2,Q1
2024-02-05,Influencer,Spring Launch,North,55+,12444,2735846,204849,11513,2301557.54,7.49,5.62,0.06,184.95,18395.3,Feb,2,Q1
2024-02-05,Email,Spring Launch,South,25-34,1532,289065,41368,3311,718783.76,14.31,8.0,0.04,469.18,46818.0,Feb,2,Q1
2024-02-05,SEO,Brand Awareness,Central,18-24,3463,871736,34005,2315,190541.91,3.9,6.81,0.1,55.02,5402.2,Feb,2,Q1
2024-02-05,Social Media,Brand Awareness,South,45-54,4846,1131783,67560,2967,346357.54,5.97,4.39,0.07,71.47,7047.3,Feb,2,Q1
2024-02-05,Email,New Year,North,55+,1850,338519,51840,4261,1034096.24,15.31,8.22,0.04,558.97,55797.1,Feb,2,Q1
2024-02-06,Influencer,Spring Launch,South,18-24,17112,3151563,246662,11189,1512843.28,7.83,4.54,0.07,88.41,8740.8,Feb,2,Q1
2024-02-06,Social Media,Summer Sale,Central,18-24,5247,1227371,81465,2824,325400.41,6.64,3.47,0.06,62.02,6101.6,Feb,2,Q1
2024-02-06,Google Ads,New Year,North,25-34,4785,921449,43320,2567,190997.26,4.7,5.93,0.11,39.92,3891.6,Feb,2,Q1
2024-02-06,Influencer,Spring Launch,Central,25-34,14298,3628889,335226,15520,930419.01,9.24,4.63,0.04,65.07,6407.3,Feb,2,Q1
2024-02-07,Email,Black Friday,East,55+,652,122307,18036,1426,307366.03,14.75,7.91,0.04,471.42,47042.0,Feb,2,Q1
2024-02-07,SEO,Summer Sale,East,25-34,2074,439016,27195,1964,176534.41,6.19,7.22,0.08,85.12,8411.8,Feb,2,Q1
2024-02-07,Google Ads,Spring Launch,North,35-44,4449,672964,29606,1749,313094.93,4.4,5.91,0.15,70.37,6937.4,Feb,2,Q1
2024-02-07,SEO,Spring Launch,North,18-24,3275,206727,10384,766,49929.29,5.02,7.38,0.32,15.25,1424.6,Feb,2,Q1
2024-02-08,Email,Black Friday,East,55+,1658,118420,19679,1562,259666.58,16.62,7.94,0.08,156.61,15561.4,Feb,2,Q1
2024-02-08,Social Media,Spring Launch,East,55+,1066,236663,13603,648,62832.78,5.75,4.76,0.08,58.94,5794.3,Feb,2,Q1
2024-02-08,Email,New Year,West,55+,2728,230425,39002,2881,169740.92,16.93,7.39,0.07,62.22,6122.2,Feb,2,Q1
2024-02-08,Google Ads,Brand Awareness,Central,45-54,4370,1041979,29527,1569,327066.36,2.83,5.31,0.15,74.84,7384.4,Feb,2,Q1
2024-02-09,Google Ads,Spring Launch,North,55+,8505,2197187,43794,2959,539373.4,1.99,6.76,0.19,63.42,6241.8,Feb,2,Q1
2024-02-10,SEO,New Year,West,18-24,4145,572589,33204,2115,433564.68,5.8,6.37,0.12,104.6,10359.9,Feb,2,Q1
2024-02-10,Influencer,Spring Launch,West,18-24,4202,246656,22506,1186,150606.9,9.12,5.27,0.19,35.84,3484.2,Feb,2,Q1
2024-02-10,SEO,New Year,West,45-54,4158,838523,38563,2760,186897.28,4.6,7.16,0.11,44.95,4394.9,Feb,2,Q1
2024-02-11,Social Media,Brand Awareness,Central,18-24,1943,569741,33967,1461,341096.2,5.96,4.3,0.06,175.55,17455.1,Feb,2,Q1
2024-02-11,Social Media,Spring Launch,East,45-54,6474,817957,46766,1717,310850.76,5.72,3.67,0.14,48.02,4701.5,Feb,2,Q1
2024-02-11,Social Media,Spring Launch,East,18-24,5716,1202781,74446,3100,650307.93,6.19,4.16,0.08,113.77,11277.0,Feb,2,Q1
2024-02-11,Social Media,New Year,North,55+,4725,1363881,92937,3463,328320.44,6.81,3.73,0.05,69.49,6848.6,Feb,2,Q1
2024-02-11,Email,Black Friday,North,45-54,2578,158909,25279,1908,130672.17,15.91,7.55,0.1,50.69,4968.7,Feb,2,Q1
2024-02-12,Google Ads,Brand Awareness,East,25-34,9601,704474,35649,2224,151723.41,5.06,6.24,0.27,15.8,1480.3,Feb,2,Q1
2024-02-13,Google Ads,New Year,North,35-44,6934,1568359,46585,2905,540301.9,2.97,6.24,0.15,77.92,7692.1,Feb,2,Q1
2024-02-13,SEO,Brand Awareness,North,45-54,2064,264492,12651,914,201784.64,4.78,7.22,0.16,97.76,9676.4,Feb,2,Q1
2024-02-13,SEO,Spring Launch,North,45-54,1370,298434,14756,874,135364.87,4.94,5.92,0.09,98.81,9780.6,Feb,2,Q1
2024-02-13,Social Media,Black Friday,North,55+,2481,367768,22233,888,182483.1,6.05,3.99,0.11,73.55,7255.2,Feb,2,Q1
2024-02-14,Email,Black Friday,Central,35-44,1759,289214,42959,3490,223302.05,14.85,8.12,0.04,126.95,12594.8,Feb,2,Q1
2024-02-14,Email,Spring Launch,North,55+,1985,393926,59714,4727,224140.12,15.16,7.92,0.03,112.92,11191.7,Feb,2,Q1
2024-02-16,Email,Black Friday,North,25-34,2071,606999,90466,7811,1652752.11,14.9,8.63,0.02,798.05,79704.5,Feb,2,Q1
2024-02-17,Social Media,Black Friday,West,18-24,4081,687157,43771,1999,475587.84,6.37,4.57,0.09,116.54,11553.7,Feb,2,Q1
2024-02-17,Email,Summer Sale,Central,25-34,1745,494433,76777,6368,310364.92,15.53,8.29,0.02,177.86,17686.0,Feb,2,Q1
2024-02-17,Google Ads,Black Friday,South,55+,10749,2738215,94451,4779,574199.41,3.45,5.06,0.11,53.42,5241.9,Feb,2,Q1
2024-02-17,Google Ads,New Year,Central,25-34,7464,720647,16132,891,67973.96,2.24,5.52,0.46,9.11,810.7,Feb,2,Q1
2024-02-17,Email,Brand Awareness,North,55+,1442,282460,40377,3014,724435.02,14.29,7.46,0.04,502.38,50138.2,Feb,2,Q1
2024-02-17,Social Media,Spring Launch,East,25-34,4854,1240611,60048,2339,265877.06,4.84,3.9,0.08,54.77,5377.5,Feb,2,Q1
2024-02-18,Email,Brand Awareness,North,18-24,2405,239933,32981,2722,438505.63,13.75,8.25,0.07,182.33,18133.1,Feb,2,Q1
2024-02-19,Google Ads,Spring Launch,West,18-24,6712,1189907,53101,3305,185690.46,4.46,6.22,0.13,27.67,2666.5,Feb,2,Q1
2024-02-19,SEO,Spring Launch,West,45-54,4422,576199,35144,2393,366467.36,6.1,6.81,0.13,82.87,8187.4,Feb,2,Q1
2024-02-20,Email,Brand Awareness,West,35-44,700,204237,29646,2681,389894.07,14.52,9.04,0.02,556.99,55599.2,Feb,2,Q1
2024-02-20,Social Media,Spring Launch,Central,35-44,3890,881073,54615,2412,116439.78,6.2,4.42,0.07,29.93,2893.3,Feb,2,Q1
2024-02-20,Google Ads,Spring Launch,North,35-44,6949,629756,23636,1666,244657.47,3.75,7.05,0.29,35.21,3420.8,Feb,2,Q1
2024-02-21,SEO,Spring Launch,North,35-44,1521,372080,21265,1605,277764.24,5.72,7.55,0.07,182.62,18161.9,Feb,2,Q1
2024-02-21,SEO,New Year,East,35-44,2007,388974,18012,1213,111902.71,4.63,6.73,0.11,55.76,5475.6,Feb,2,Q1
2024-02-21,Email,Black Friday,North,25-34,685,35137,5378,416,20163.21,15.31,7.74,0.13,29.44,2843.5,Feb,2,Q1
2024-02-22,Influencer,Summer Sale,Central,55+,4954,1252739,109328,4886,981319.42,8.73,4.47,0.05,198.09,19708.6,Feb,2,Q1
2024-02-22,SEO,Spring Launch,North,45-54,3546,794980,46253,2985,694977.06,5.82,6.45,0.08,195.99,19498.9,Feb,2,Q1
2024-02-22,Email,Black Friday,South,35-44,1217,244146,33993,2632,138088.26,13.92,7.74,0.04,113.47,11246.6,Feb,2,Q1
2024-02-22,Google Ads,Brand Awareness,West,35-44,11795,1044509,33243,2083,506325.5,3.18,6.27,0.35,42.93,4192.7,Feb,2,Q1
2024-02-22,Social Media,New Year,South,55+,4448,370928,19576,744,181934.61,5.28,3.8,0.23,40.9,3990.3,Feb,2,Q1
2024-02-23,Social Media,Spring Launch,East,55+,4632,1316192,58757,2284,400576.72,4.46,3.89,0.08,86.48,8548.0,Feb,2,Q1
2024-02-24,Google Ads,Summer Sale,South,45-54,14368,3841550,187243,10301,2237289.7,4.87,5.5,0.08,155.71,15471.3,Feb,2,Q1
2024-02-24,Email,Spring Launch,West,45-54,2182,568700,79395,6530,376730.26,13.96,8.22,0.03,172.65,17165.4,Feb,2,Q1
2024-02-24,Influencer,Spring Launch,North,18-24,6255,327241,31252,1764,78635.66,9.55,5.64,0.2,12.57,1157.2,Feb,2,Q1
2024-02-24,Google Ads,Summer Sale,East,18-24,11547,1689435,81321,4633,1146926.03,4.81,5.7,0.14,99.33,9832.7,Feb,2,Q1
2024-02-25,Google Ads,New Year,East,25-34,10266,589334,20690,1349,245944.29,3.51,6.52,0.5,23.96,2295.7,Feb,2,Q1
2024-02-25,SEO,Spring Launch,East,55+,4723,882786,41754,2964,136116.9,4.73,7.1,0.11,28.82,2782.0,Feb,2,Q1
2024-02-25,Influencer,Summer Sale,Central,35-44,18833,2525380,170894,8202,1140656.76,6.77,4.8,0.11,60.57,5956.7,Feb,2,Q1
2024-02-25,Google Ads,Spring Launch,East,45-54,7553,1823724,66183,3983,243826.34,3.63,6.02,0.11,32.28,3128.2,Feb,2,Q1
2024-02-26,SEO,New Year,North,45-54,4963,806455,39422,2938,378079.25,4.89,7.45,0.13,76.18,7518.0,Feb,2,Q1
2024-02-27,Influencer,Spring Launch,East,55+,12085,1315818,97372,5068,874019.28,7.4,5.2,0.12,72.32,7132.3,Feb,2,Q1
2024-02-27,Social Media,New Year,Central,55+,1822,403113,28611,1414,90038.1,7.1,4.94,0.06,49.42,4841.7,Feb,2,Q1
2024-02-27,SEO,New Year,East,45-54,2641,669169,19581,1347,136503.47,2.93,6.88,0.13,51.69,5068.6,Feb,2,Q1
2024-02-27,Influencer,Brand Awareness,East,55+,15360,1248653,112826,6216,1371200.68,9.04,5.51,0.14,89.27,8827.1,Feb,2,Q1
2024-02-28,Social Media,Spring Launch,South,25-34,1649,148465,6875,300,28114.72,4.63,4.36,0.24,17.05,1605.0,Feb,2,Q1
2024-02-28,Email,Brand Awareness,North,45-54,1906,550290,81761,6652,1613992.71,14.86,8.14,0.02,846.8,84579.6,Feb,2,Q1
2024-02-28,Social Media,New Year,South,45-54,3886,224281,14369,612,137381.68,6.41,4.26,0.27,35.35,3435.3,Feb,2,Q1
2024-02-28,Social Media,Summer Sale,South,45-54,2217,632346,40244,1927,255175.03,6.36,4.79,0.06,115.1,11409.9,Feb,2,Q1
2024-02-28,Email,Summer Sale,East,25-34,2841,241449,38699,3631,592742.06,16.03,9.38,0.07,208.64,20763.9,Feb,2,Q1
2024-02-29,SEO,Summer Sale,East,25-34,2888,415616,22290,1759,134708.72,5.36,7.89,0.13,46.64,4564.4,Feb,2,Q1
2024-02-29,SEO,Brand Awareness,East,45-54,1737,492692,24829,1875,408301.85,5.04,7.55,0.07,235.06,23406.2,Feb,2,Q1
2024-02-29,Social Media,Black Friday,East,45-54,3971,1068936,55987,2330,490877.15,5.24,4.16,0.07,123.62,12261.5,Feb,2,Q1
2024-03-01,Email,Brand Awareness,North,25-34,695,165466,25915,2142,221128.2,15.66,8.27,0.03,318.17,31717.0,Mar,3,Q1
2024-03-02,Email,Brand Awareness,North,35-44,1524,326746,47258,3951,231088.78,14.46,8.36,0.03,151.63,15063.3,Mar,3,Q1
2024-03-02,Social Media,Black Friday,Central,45-54,3741,286701,16883,646,60026.14,5.89,3.83,0.22,16.05,1504.5,Mar,3,Q1
2024-03-02,Google Ads,Summer Sale,South,45-54,14457,1837992,80608,4708,718638.24,4.39,5.84,0.18,49.71,4870.9,Mar,3,Q1
2024-03-02,Email,Summer Sale,North,55+,2020,123369,18461,1485,185198.26,14.96,8.04,0.11,91.68,9068.2,Mar,3,Q1
2024-03-02,Google Ads,Black Friday,Central,35-44,3479,865753,24106,1342,91306.87,2.78,5.57,0.14,26.25,2524.5,Mar,3,Q1
2024-03-03,Google Ads,Summer Sale,North,45-54,2744,551819,16268,938,125328.81,2.95,5.77,0.17,45.67,4467.4,Mar,3,Q1
2024-03-04,Influencer,Summer Sale,West,25-34,4685,1083434,78691,4383,695869.41,7.26,5.57,0.06,148.53,14753.1,Mar,3,Q1
2024-03-04,Influencer,Spring Launch,Central,35-44,18401,1114894,87305,4412,264708.02,7.83,5.05,0.21,14.39,1338.6,Mar,3,Q1
2024-03-05,Social Media,Black Friday,East,35-44,5112,1484688,73727,1866,359848.21,4.97,2.53,0.07,70.39,6939.3,Mar,3,Q1
2024-03-05,Google Ads,Spring Launch,North,18-24,6342,1863555,90328,5482,1097345.35,4.85,6.07,0.07,173.03,17202.8,Mar,3,Q1
2024-03-05,Google Ads,New Year,North,35-44,11081,3037650,61482,3562,586836.49,2.02,5.79,0.18,52.96,5195.9,Mar,3,Q1
2024-03-05,Google Ads,New Year,North,45-54,2461,420170,12370,719,83003.29,2.94,5.81,0.2,33.73,3272.7,Mar,3,Q1
2024-03-06,Social Media,Summer Sale,Central,25-34,3096,469065,31759,1262,288211.25,6.77,3.97,0.1,93.09,9209.1,Mar,3,Q1
2024-03-06,Social Media,Spring Launch,East,55+,3934,595427,25472,885,68818.78,4.28,3.47,0.15,17.49,1649.3,Mar,3,Q1
2024-03-06,Social Media,Black Friday,East,35-44,2837,640655,19520,786,177791.03,3.05,4.03,0.15,62.67,6166.9,Mar,3,Q1
2024-03-06,SEO,New Year,East,55+,3573,295456,14192,1042,250533.4,4.8,7.34,0.25,70.12,6911.8,Mar,3,Q1
2024-03-07,Influencer,New Year,Central,55+,9788,2684463,174025,8733,800072.08,6.48,5.02,0.06,81.74,8074.0,Mar,3,Q1
2024-03-08,Social Media,Brand Awareness,East,35-44,2923,495045,30679,1099,162461.36,6.2,3.58,0.1,55.58,5458.0,Mar,3,Q1
2024-03-08,Social Media,Black Friday,East,25-34,2902,638729,42470,1606,154883.51,6.65,3.78,0.07,53.37,5237.1,Mar,3,Q1
2024-03-08,SEO,Summer Sale,South,45-54,2613,532841,28733,2072,259761.74,5.39,7.21,0.09,99.41,9841.1,Mar,3,Q1
2024-03-09,Email,Summer Sale,Central,45-54,2118,590459,87304,7139,982770.24,14.79,8.18,0.02,464.01,46300.9,Mar,3,Q1
2024-03-09,SEO,Black Friday,East,18-24,4442,1290546,78603,5171,839191.24,6.09,6.58,0.06,188.92,18792.2,Mar,3,Q1
2024-03-10,Social Media,New Year,Central,45-54,7224,462543,17278,771,164549.06,3.74,4.46,0.42,22.78,2177.8,Mar,3,Q1
2024-03-11,Google Ads,Black Friday,East,25-34,9483,2297646,49500,3166,578733.31,2.15,6.4,0.19,61.03,6002.9,Mar,3,Q1
2024-03-11,Email,Summer Sale,East,18-24,2258,389841,54605,4366,290334.89,14.01,8.0,0.04,128.58,12758.1,Mar,3,Q1
